-0.24455,0.67791,0.48106,-0.61146,0.68659,0.099418,-0.57591,0.78278,-0.49905,0.25615,0.3759,-0.10915,0.17804,0.11458,0.30748,TB
0.83047,0.87132,0.86233,0.57202,0.81917,0.61885,0.96989,-0.76756,-0.51296,-0.21738,-0.20759,-0.78143,0.82148,-0.42272,0.29448,TB
0.46112,0.64123,0.69781,0.68388,0.92952,0.46056,0.9267,-0.34917,-0.46924,-0.55921,-0.34256,-0.76071,0.70759,-0.40388,0.47405,TB
0.61252,0.77674,0.92162,0.73297,0.87521,0.46207,0.78084,-0.57161,-0.47168,-0.84261,-1,-0.44377,0.55533,-0.53666,0.26444,TB
0.66919,0.73943,0.74343,0.18559,0.90396,0.56726,0.89152,-0.48654,-0.59854,0.024835,-0.27008,-0.73276,0.72004,-0.21808,0.25506,TB
0.7851,0.87938,0.83993,0.85638,0.9923,0.72949,0.96236,-0.79873,-0.80051,-0.41448,-0.25561,-0.89074,0.7974,-0.67344,0.69177,TB
0.71208,0.78548,0.85228,0.29933,0.82463,0.58222,0.72632,-0.47391,-0.57494,-0.44904,-0.51106,-0.81291,0.80548,-0.25873,0.40946,TB
0.67427,0.9859,0.91052,0.54012,0.82327,0.42633,0.93549,-0.50586,-0.35787,-0.011445,0.33756,-0.76043,0.66698,-0.54531,0.14962,TB
0.39252,0.87681,0.74105,0.24326,0.87611,0.23344,0.93538,-0.33938,-0.12638,-0.5943,-0.64414,-0.71359,0.62724,-0.53866,0.4827,TB
0.67077,0.92583,0.84806,0.41933,0.91098,0.51189,0.93533,-0.58555,-0.50464,-0.40719,-0.79473,-0.67952,0.88204,-0.70453,0.6511,TB
0.59803,0.8816,0.78227,0.55977,0.91121,0.63781,0.93073,-0.70215,-0.86053,0.11636,0.21733,-0.91467,0.80056,-0.88869,-0.041913,TB
0.76325,0.89908,0.92017,0.51562,0.84969,0.57548,0.91118,-0.69453,-0.52425,-0.45307,-0.34332,-0.87452,0.5488,-0.67895,0.43941,TB
0.62628,0.85653,0.75109,0.63879,0.98057,0.62061,0.95603,-0.61974,-0.71915,-0.49945,-0.53739,-0.91186,0.90783,-0.55529,0.39423,TB
0.39818,0.64578,0.84233,0.56413,0.88956,0.25001,0.84876,-0.41215,-0.17353,-0.39447,-0.44474,-0.77284,0.66865,-0.29045,0.44172,TB
1,0.7817,0.85739,0.67336,0.60853,0.61274,0.87652,-0.5376,-0.40785,-0.36611,0.46655,-0.71485,0.51838,-0.76619,0.1974,TB
0.27679,0.64235,0.70055,0.35198,0.97981,0.251,0.84055,-0.20733,-0.37934,-0.39212,-0.010923,-0.76315,0.6049,-0.63337,-0.084755,TB
0.64002,0.96289,0.94287,0.42087,0.7283,0.33995,0.92681,-0.43337,-0.15654,-0.46657,-0.78332,-0.56733,0.47632,-0.91646,0.31779,TB
0.59725,0.73609,0.83439,0.77013,0.9081,0.46711,0.92822,-0.64467,-0.48843,-0.3177,0.13405,-0.64458,0.73466,-0.31071,0.56159,TB
0.63891,0.96257,0.82805,0.5168,0.91911,0.53799,0.91165,-0.56232,-0.59491,-0.25222,0.31847,-0.85961,0.63446,-0.70798,0.095788,TB
0.76171,0.69482,0.92036,0.24611,0.73101,0.50052,0.62735,-0.44261,-0.39399,-0.37866,-0.40377,-0.8173,0.90044,-0.20291,0.0026507,TB
